Date,Close,High,Low,Open,Volume
2019-05-01,2923.72998046875,2954.1298828125,2923.36010742188,2952.330078125,3669330000
2019-05-02,2917.52001953125,2931.67993164063,2900.5,2922.15991210938,3802290000
2019-05-03,2945.63989257813,2947.85009765625,2929.2099609375,2929.2099609375,3357180000
2019-05-06,2932.46997070313,2937.32006835938,2898.2099609375,2908.88989257813,3203260000
2019-05-07,2884.05004882813,2913.03002929688,2862.60009765625,2913.03002929688,3793060000
2019-05-08,2879.419921875,2897.9599609375,2873.28002929688,2879.61010742188,3543110000
2019-05-09,2870.71997070313,2875.96997070313,2836.39990234375,2859.84008789063,3659050000
2019-05-10,2881.39990234375,2891.31005859375,2825.38989257813,2863.10009765625,3566780000
2019-05-13,2811.8701171875,2840.18994140625,2801.42993164063,2840.18994140625,3900270000
2019-05-14,2834.40991210938,2852.5400390625,2820.1201171875,2820.1201171875,3354860000
2019-05-15,2850.9599609375,2858.67993164063,2815.080078125,2820.3798828125,3140900000
2019-05-16,2876.32006835938,2892.14990234375,2855.80004882813,2855.80004882813,3338470000
2019-05-17,2859.53002929688,2885.47998046875,2854.22998046875,2858.60009765625,3316040000
2019-05-20,2840.22998046875,2853.86010742188,2831.2900390625,2841.93994140625,3293750000
2019-05-21,2864.36010742188,2868.8798828125,2854.02001953125,2854.02001953125,3223050000
2019-05-22,2856.27001953125,2865.46997070313,2851.11010742188,2856.06005859375,3194000000
2019-05-23,2822.23999023438,2836.69995117188,2805.48999023438,2836.69995117188,3899320000
2019-05-24,2826.06005859375,2841.36010742188,2820.18994140625,2832.40991210938,2889230000
2019-05-28,2802.38989257813,2840.51000976563,2801.580078125,2830.03002929688,4146980000
2019-05-29,2783.02001953125,2792.03002929688,2766.06005859375,2790.25,3701110000
2019-05-30,2788.86010742188,2799,2776.73999023438,2786.93994140625,3276030000
2019-05-31,2752.06005859375,2768.97998046875,2750.52001953125,2766.14990234375,3982670000
2019-06-03,2744.44995117188,2763.07006835938,2728.81005859375,2751.53002929688,3952360000
2019-06-04,2803.27001953125,2804.48999023438,2762.63989257813,2762.63989257813,3814130000
2019-06-05,2826.14990234375,2827.28002929688,2800.919921875,2818.09008789063,3570760000
2019-06-06,2843.48999023438,2852.10009765625,2822.44995117188,2828.51000976563,3445140000
2019-06-07,2873.34008789063,2884.96997070313,2852.8701171875,2852.8701171875,3244380000
2019-06-10,2886.72998046875,2904.77001953125,2885.51000976563,2885.830078125,3209890000
2019-06-11,2885.71997070313,2910.61010742188,2878.53002929688,2903.27001953125,3551000000
2019-06-12,2879.84008789063,2888.57006835938,2874.67993164063,2882.72998046875,3039870000
2019-06-13,2891.63989257813,2895.23999023438,2881.98999023438,2886.23999023438,3100640000
2019-06-14,2886.97998046875,2894.44995117188,2879.6201171875,2886.82006835938,2992810000
